CID,SMILES,solubility_mean,solubility
24983170,C1=CC(=CC(=C1)Cl)C(=O)OCC(=O)NC2=CC3=C(C=C2)NC(=O)N3,0.8,low
3106491,CC1=NN(C(=O)C1N=NC2=CC=C(C=C2)Br)C(=S)N,0.8,low
6870346,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=CC=C(C=C3)Cl,0.8,low
6858628,COC1=C(C=C(C=C1)Br)/C=N/N2C(=NN=N2)N,0.8,low
9754354,CC/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC=C(C=C3)F,0.8,low
2810518,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)C3=CC4=C(C=C3)OCC4,0.8,low
9115581,CC1=CC(=C(N1)C2=NC3=CC=CC=C3S2)C,0.8,low
135645326,C1=CC=C(C=C1)CC2C(=O)N/C(=N/N=C/C3=CC=C(C=C3)O)/S2,0.9,low
1485789,C1=CC(=CC=C1C2=NC=C(C=C2)C(=O)C3=CC=C(C=C3)F)F,0.9,low
250381,COC1=CC=C(C=C1)NN=NC2=CC=C(C=C2)[N+](=O)[O-],0.9,low
2820001,C1=COC(=C1)CS(=O)(=O)CC2=NC(=CS2)C3=CC=C(C=C3)Cl,0.9,low
19675102,CCC1=CC=C(C=C1)C(C)NC(=S)NCC2=CC=C(C=C2)F,1,low
398165,CCSC1=C(C2(CCCCC2)C3=C(N1)CC(CC3=O)(C)C)C#N,1,low
788928,COC1=CC(=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)OC,1,low
4219209,C1CN(CCN1C2=CC=C(C=C2)F)C3=NC4=CC=CC=C4N=C3,1,low
2788380,C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=CC=C3[N+](=O)[O-],1,low
1019255,CC1=C(C(=CC=C1)NC(=O)C2=NC(=CC=C2)C(=O)NC3=CC=CC(=C3C)C)C,1.1,low
1316575,CCOC(=O)C1=CC=C(C=C1)NC(=S)N2CCN(CC2)C3=CC=CC=N3,1.2,low
4683230,CC1=C(C(=O)N(N1)C(=S)N)N=NC2=CC(=CC=C2)Cl,1.2,low
6905520,CCN=C1N(C(=CS1)C2=CC=C(C=C2)F)/N=C/C3=CC=CC=N3,1.2,low
6869472,C/C(=C\C1=CC=CC=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC=CN3C,1.2,low
24979310,CC(C(=O)NC1=CC=C(C=C1)F)OC(=O)CC2CCCCC2,1.2,low
135439782,C1=CC=C(C(=C1)C2=CC(=NO2)C(=O)NC3=CN=CC=C3)O,1.3,low
5296050,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)/C=C\C4=CC=C(C=C4)C#N,1.3,low
23410754,CC1=CC2=C(C=C1)OCC(=O)N2CC(=O)NC3=NC=CS3,1.3,low
1131192,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=NSN=C3C=C2,1.3,low
135533655,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=C(C(=CC(=C3)Br)Cl)O,1.3,low
1935420,CC(=O)OC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CO4,1.3,low
1485674,COC1=CC=CC2=C1C=C(C(=O)N2)C3=CC=CC=C3,1.4,low
3765920,CCSC1=NSC(=N1)NC(=O)NC2=CC=CC=C2F,1.4,low
2710792,CNC(=O)C1=CC=C(C=C1)NC(=O)/C=C/C2=CC(=CC=C2)F,1.4,low
2579010,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)OC(F)F)Cl,1.4,low
135520585,COC1=C(C=CC(=C1)/C=N/NC(=S)NC2CC3CC2C4C3CC=C4)O,1.4,low
832562,CC1=CC=C(C=C1)NC(=O)C(C)C(=O)NC2=CC=C(C=C2)C,1.5,low
886106,CC1=C(SC(=N1)NC(=O)/C=C/C2=CC=CC=C2Cl)C(=O)OC,1.5,low
3845662,CC1=C(C(=NN1)NC2=CC=C(C=C2)C(C)C)[N+](=O)[O-],1.6,low
4159955,C1CCC(CC1)NC(=O)NC2=NC3=CC=CC=C3N2,1.6,low
835337,COC1=CC=CC(=C1)C(=O)NC2=CC3=CC=CC=C3C=C2,1.6,low
2730060,C1CCN(C1)C2=NN(N=N2)CC3=C(C=CC=C3Cl)Cl,1.7,low
2816518,CC(=O)COC1=C(C(=C2CCC3=CC=CC=C3C2=N1)C4=CC=CO4)C#N,1.7,low
