class,precision,recall,f1-score
low,0.7529504327301337,0.5446784291405805,0.6321003963011889
moderate,0.8138094165352557,0.9192111959287532,0.8633050543673079
high,0.5761589403973509,0.4416243654822335,0.5
accuracy,0.7973381730187538,0.7973381730187538,0.7973381730187538
macro avg,0.7143062632209135,0.6351713301838556,0.6651351502228322
weighted avg,0.7912810600500458,0.7973381730187538,0.7869050661074598
oob_score,0.7995332958817682,0.7995332958817682,0.7995332958817682
