class,precision,recall,f1-score
low,0.743549648162627,0.5412635173591349,0.6264822134387352
moderate,0.811661215743769,0.915648854961832,0.8605248998624978
high,0.547945205479452,0.40609137055837563,0.46647230320699706
accuracy,0.7932762941837352,0.7932762941837352,0.7932762941837352
macro avg,0.701052023128616,0.6210012476264475,0.6511598055027433
weighted avg,0.7864865460953202,0.7932762941837352,0.7827395432265774
oob_score,0.795644094896504,0.795644094896504,0.795644094896504
