class,precision,recall,f1-score
low,0.7023422251138581,0.6143995446784292,0.6554341226472374
moderate,0.8407759882869692,0.8767175572519084,0.8583707025411061
high,0.5016611295681063,0.766497461928934,0.606425702811245
accuracy,0.7951775991703396,0.7951775991703396,0.7951775991703396
macro avg,0.681593114322978,0.7525381879530905,0.7067435093331961
weighted avg,0.7929614630983141,0.7951775991703396,0.7924513950746955
oob_score,0.7987770623568557,0.7987770623568557,0.7987770623568557
