class,precision,recall,f1-score
low,0.7507704160246533,0.5546385885031303,0.6379705400981996
moderate,0.8169956886771046,0.9161577608142494,0.8637399544200551
high,0.5652173913043478,0.4619289340101523,0.5083798882681564
accuracy,0.7986345173278022,0.7986345173278022,0.7986345173278022
macro avg,0.7109944986687019,0.6442417611091773,0.6700301275954704
weighted avg,0.7925971118312704,0.7986345173278022,0.789125862728851
oob_score,0.8027742967028219,0.8027742967028219,0.8027742967028219
